timeInSec,pedID,posX,posY,curVeloc,absLocalDensity,finalDest
1.05,0,8.0,4.23,1.44,1.0,0
1.05,1,5.94,3.98,1.6,1.0,0
1.05,2,8.01,3.2,0.9,1.0,0
1.05,3,5.84,5.89,1.38,1.0,0
1.05,4,7.57,3.77,1.32,1.0,0
1.05,5,6.9,5.81,1.35,1.0,0
1.58,0,8.0,4.23,1.44,1.0,0
1.58,1,5.94,3.98,1.6,1.0,0
1.58,2,8.01,3.2,0.9,1.0,0
1.58,3,5.84,5.89,1.38,1.0,0
1.58,4,7.57,3.77,1.32,1.0,0
1.58,5,6.9,5.81,1.35,1.0,0
2.11,0,8.79,4.24,0.75,1.0,0
2.11,1,6.69,4.37,0.8,1.0,0
2.11,2,7.86,3.32,0.19,1.0,0
2.11,3,6.45,5.42,0.73,1.0,0
2.11,4,7.98,4.39,0.71,1.0,0
2.11,5,7.4,5.23,0.72,1.0,0
2.63,0,9.57,4.34,1.5,1.0,0
2.63,1,7.53,4.36,1.6,1.0,0
2.63,2,7.87,3.92,1.12,1.0,0
2.63,3,6.92,4.81,1.46,1.0,0
2.63,4,8.71,4.27,1.42,1.0,0
2.63,5,8.01,4.78,1.44,1.0,0
3.16,0,10.36,4.39,1.5,1.0,0
3.16,1,7.53,4.36,0.0,1.0,0
3.16,2,8.23,4.38,1.12,1.0,0
3.16,3,7.05,4.66,0.37,1.0,0
3.16,4,9.46,4.27,1.42,1.0,0
3.16,5,8.77,4.75,1.44,1.0,0
3.16,6,8.01,3.46,1.48,1.0,0
3.16,7,7.95,5.62,1.32,1.0,0
3.16,8,7.82,2.89,1.29,1.0,0
3.16,9,5.21,3.12,1.33,1.0,0
3.16,10,5.66,5.94,1.1,1.0,0
3.69,0,11.14,4.49,1.5,1.0,0
3.69,1,7.74,4.38,0.4,1.0,0
3.69,2,8.42,4.46,0.37,1.0,0
3.69,3,7.34,4.17,1.1,1.0,0
3.69,4,10.21,4.29,1.42,1.0,0
3.69,5,9.53,4.76,1.44,1.0,0
3.69,6,8.01,3.46,1.48,1.0,0
3.69,7,7.95,5.62,1.32,1.0,0
3.69,8,7.82,2.89,1.29,1.0,0
3.69,9,5.21,3.12,1.33,1.0,0
3.69,10,5.66,5.94,1.1,1.0,0
4.22,0,11.92,4.42,1.5,1.0,0
4.22,1,7.93,4.48,0.4,1.0,0
4.22,2,8.42,4.46,0.37,1.0,0
4.22,3,7.34,4.17,0.0,1.0,0
4.22,4,10.95,4.33,1.42,1.0,0
4.22,5,10.27,4.88,1.44,1.0,0
4.22,6,7.81,3.81,0.38,1.0,0
4.22,7,7.7,5.12,0.53,1.0,0
4.22,8,7.69,3.23,0.35,1.0,0
4.22,9,5.92,3.37,0.71,1.0,0
4.22,10,6.18,5.52,0.63,1.0,0
4.74,1,8.68,4.86,1.6,1.0,0
4.74,2,8.98,4.27,0.56,1.0,0
4.74,3,8.09,4.32,1.46,1.0,0
4.74,4,11.69,4.23,1.42,1.0,0
4.74,5,11.03,4.9,1.44,1.0,0
4.74,6,7.63,4.17,0.76,1.0,0
4.74,7,7.79,4.76,0.71,1.0,0
4.74,8,7.92,3.73,1.05,1.0,0
4.74,9,6.51,3.83,1.43,1.0,0
4.74,10,6.68,5.08,1.26,1.0,0
5.27,1,9.51,4.73,1.6,1.0,0
5.27,2,9.54,4.09,1.12,1.0,0
5.27,3,8.82,4.05,1.46,1.0,0
5.27,4,12.06,4.24,0.71,1.0,0
5.27,5,11.75,4.66,1.44,1.0,0
5.27,6,7.63,4.17,0.0,1.0,0
5.27,7,8.52,4.63,1.42,1.0,0
5.27,8,8.1,4.25,1.05,1.0,0
5.27,9,7.26,3.84,1.43,1.0,0
5.27,10,7.28,4.8,1.26,1.0,0
5.27,11,5.41,4.01,1.19,1.0,0
5.27,12,7.68,3.32,1.02,1.0,0
5.27,13,8.0,3.0,1.57,1.0,0
5.27,14,7.34,5.41,1.38,1.0,0
5.27,15,5.37,3.55,1.36,1.0,0
5.27,16,8.01,5.9,1.2,1.0,0
5.27,17,5.86,3.78,0.95,1.0,0
5.27,18,8.03,5.46,1.2,1.0,0
5.27,19,5.2,5.36,1.46,1.0,0
5.27,20,6.31,4.51,1.44,1.0,0
5.27,21,6.88,3.21,1.49,1.0,0
5.27,22,6.88,4.46,1.61,1.0,0
5.27,23,5.92,3.26,1.34,1.0,0
5.8,1,10.36,4.69,1.6,1.0,0
5.8,2,10.13,4.02,1.12,1.0,0
5.8,3,9.59,4.1,1.46,1.0,0
5.8,5,11.92,4.57,0.36,1.0,0
5.8,6,7.76,4.55,0.76,1.0,0
5.8,7,9.25,4.77,1.42,1.0,0
5.8,8,8.76,4.58,1.4,1.0,0
5.8,9,7.99,4.0,1.43,1.0,0
5.8,10,7.28,4.8,0.0,1.0,0
5.8,11,5.41,4.01,1.19,1.0,0
5.8,12,7.68,3.32,1.02,1.0,0
5.8,13,8.0,3.0,1.57,1.0,0
5.8,14,7.34,5.41,1.38,1.0,0
5.8,15,5.37,3.55,1.36,1.0,0
5.8,16,8.01,5.9,1.2,1.0,0
5.8,17,5.86,3.78,0.95,1.0,0
5.8,18,8.03,5.46,1.2,1.0,0
5.8,19,5.2,5.36,1.46,1.0,0
5.8,20,6.31,4.51,1.44,1.0,0
5.8,21,6.88,3.21,1.49,1.0,0
5.8,22,6.88,4.46,1.61,1.0,0
5.8,23,5.92,3.26,1.34,1.0,0
6.32,1,11.2,4.76,1.6,1.0,0
6.32,2,10.72,4.08,1.12,1.0,0
6.32,3,10.31,4.36,1.46,1.0,0
6.32,6,7.93,4.65,0.38,1.0,0
6.32,7,10.0,4.84,1.42,1.0,0
6.32,8,9.5,4.63,1.4,1.0,0
6.32,9,8.72,4.2,1.43,1.0,0
6.32,10,7.6,4.22,1.26,1.0,0
6.32,11,5.82,4.58,0.66,1.0,0
6.32,12,7.85,3.77,0.45,1.0,0
6.32,13,7.74,3.32,0.4,1.0,0
6.32,14,7.56,5.09,0.36,1.0,0
6.32,15,5.27,4.3,0.72,1.0,0
6.32,16,7.38,5.59,0.67,1.0,0
6.32,17,6.44,3.95,0.58,1.0,0
6.32,18,8.01,5.11,0.33,1.0,0
6.32,19,5.99,5.47,0.76,1.0,0
6.32,20,6.94,4.97,0.75,1.0,0
6.32,21,7.04,3.33,0.19,1.0,0
6.32,22,6.99,4.28,0.2,1.0,0
6.32,23,6.65,3.08,0.72,1.0,0
6.85,1,11.92,4.31,1.6,1.0,0
6.85,2,10.72,4.08,1.12,1.0,0
6.85,3,11.06,4.54,1.46,1.0,0
6.85,6,8.73,4.69,1.52,1.0,0
6.85,7,10.74,4.93,1.42,1.0,0
6.85,8,10.15,4.29,1.4,1.0,0
6.85,9,9.44,4.01,1.43,1.0,0
6.85,10,7.6,4.22,0.0,1.0,0
6.85,11,6.5,4.75,1.33,1.0,0
6.85,12,8.3,4.22,1.21,1.0,0
6.85,13,7.89,3.71,0.79,1.0,0
6.85,14,8.21,4.68,1.46,1.0,0
6.85,15,5.92,4.69,1.45,1.0,0
6.85,16,7.39,5.07,1.0,1.0,0
6.85,17,7.03,3.79,1.15,1.0,0
6.85,18,7.75,4.65,1.0,1.0,0
6.85,19,6.79,5.53,1.51,1.0,0
6.85,20,7.53,5.5,1.5,1.0,0
6.85,21,7.84,3.22,1.53,1.0,0
6.85,22,6.99,4.28,0.0,1.0,0
6.85,23,7.32,3.45,1.43,1.0,0
7.38,2,11.31,4.01,0.56,1.0,0
7.38,3,11.79,4.79,1.46,1.0,0
7.38,6,9.53,4.77,1.52,1.0,0
7.38,7,11.4,4.58,1.42,1.0,0
7.38,8,10.87,4.14,1.4,1.0,0
7.38,9,10.19,3.98,1.43,1.0,0
7.38,10,7.6,4.22,0.0,1.0,0
7.38,11,7.02,4.73,1.0,1.0,0
7.38,12,8.93,4.2,1.21,1.0,0
7.38,13,8.46,4.32,1.59,1.0,0
7.38,14,8.98,4.71,1.46,1.0,0
7.38,15,6.49,4.72,1.08,1.0,0
7.38,16,7.39,5.07,0.0,1.0,0
7.38,17,7.64,3.75,1.15,1.0,0
7.38,18,7.75,4.65,0.0,1.0,0
7.38,19,6.98,5.51,0.38,1.0,0
7.38,20,7.73,5.53,0.37,1.0,0
7.38,21,7.84,3.22,0.0,1.0,0
7.38,22,7.23,3.92,0.8,1.0,0
7.38,23,7.32,3.45,0.0,1.0,0
7.9,2,11.88,3.87,1.12,1.0,0
7.9,3,11.94,4.91,0.37,1.0,0
7.9,6,10.33,4.79,1.52,1.0,0
7.9,7,11.94,4.42,1.06,1.0,0
7.9,8,11.42,4.18,1.05,1.0,0
7.9,9,10.94,4.0,1.43,1.0,0
7.9,10,7.93,4.22,0.32,1.0,0
7.9,11,7.25,4.47,0.66,1.0,0
7.9,12,9.55,4.03,1.21,1.0,0
7.9,13,8.67,4.34,0.4,1.0,0
7.9,14,9.74,4.77,1.46,1.0,0
7.9,15,6.66,4.62,0.36,1.0,0
7.9,16,7.39,5.07,0.0,1.0,0
7.9,17,7.84,3.74,0.38,1.0,0
7.9,18,8.28,4.65,1.0,1.0,0
7.9,19,7.18,5.48,0.38,1.0,0
7.9,20,7.96,4.98,1.12,1.0,0
7.9,21,7.84,3.22,0.0,1.0,0
7.9,22,7.23,3.92,0.0,1.0,0
7.9,23,7.32,3.45,0.0,1.0,0
8.43,2,12.08,3.83,0.37,1.0,0
8.43,6,11.13,4.92,1.52,1.0,0
8.43,8,11.96,4.28,1.05,1.0,0
8.43,9,11.54,4.46,1.43,1.0,0
8.43,10,8.08,4.15,0.32,1.0,0
8.43,11,7.77,4.52,1.0,1.0,0
8.43,12,10.18,4.04,1.21,1.0,0
8.43,13,9.51,4.36,1.59,1.0,0
8.43,14,10.51,4.79,1.46,1.0,0
8.43,15,7.18,4.4,1.08,1.0,0
8.43,16,7.78,5.42,1.0,1.0,0
8.43,17,7.84,3.74,0.38,1.0,0
8.43,18,8.98,4.68,1.33,1.0,0
8.43,19,7.4,4.92,1.14,1.0,0
8.43,20,8.57,4.47,1.5,1.0,0
8.43,21,7.84,3.22,0.0,1.0,0
8.43,22,7.44,3.93,0.4,1.0,0
8.43,23,6.84,4.03,1.43,1.0,0
8.96,6,11.93,4.92,1.52,1.0,0
8.96,9,11.91,4.47,0.71,1.0,0
8.96,10,8.72,3.98,1.26,1.0,0
8.96,11,8.11,4.6,0.66,1.0,0
8.96,12,10.18,4.04,1.21,1.0,0
8.96,13,10.11,4.51,1.19,1.0,0
8.96,14,11.19,4.43,1.46,1.0,0
8.96,15,7.75,4.35,1.08,1.0,0
8.96,16,7.78,5.42,0.0,1.0,0
8.96,17,7.84,3.74,0.0,1.0,0
8.96,18,9.68,4.76,1.33,1.0,0
8.96,19,7.59,4.85,0.38,1.0,0
8.96,20,9.22,4.03,1.5,1.0,0
8.96,21,7.65,3.29,0.38,1.0,0
8.96,22,8.27,4.11,1.61,1.0,0
8.96,23,6.85,4.22,0.36,1.0,0
9.48,10,8.72,3.98,0.0,1.0,0
9.48,11,8.8,4.72,1.33,1.0,0
9.48,12,10.81,4.17,0.6,1.0,0
9.48,13,10.91,4.78,1.59,1.0,0
9.48,14,11.94,4.56,1.46,1.0,0
9.48,15,8.07,4.56,0.72,1.0,0
9.48,16,7.78,5.42,0.0,1.0,0
9.48,17,7.79,4.15,0.77,1.0,0
9.48,18,10.38,4.78,1.33,1.0,0
9.48,19,7.78,4.9,0.38,1.0,0
9.48,20,10.01,4.07,1.5,1.0,0
9.48,21,7.52,3.67,0.77,1.0,0
9.48,22,8.27,4.11,0.0,1.0,0
9.48,23,7.38,4.43,1.07,1.0,0
10.01,10,9.38,4.07,1.26,1.0,0
10.01,11,9.48,4.91,1.33,1.0,0
10.01,12,11.44,4.11,1.21,1.0,0
10.01,13,11.53,4.77,1.19,1.0,0
10.01,15,8.81,4.72,1.45,1.0,0
10.01,16,7.62,5.35,0.33,1.0,0
10.01,17,8.21,4.58,1.15,1.0,0
10.01,18,11.08,4.85,1.33,1.0,0
10.01,19,7.78,4.9,0.0,1.0,0
10.01,20,10.8,4.13,1.5,1.0,0
10.01,21,7.7,4.03,0.77,1.0,0
10.01,22,8.89,3.98,1.21,1.0,0
10.01,23,7.38,4.43,0.0,1.0,0
10.54,10,10.04,4.01,1.26,1.0,0
10.54,11,9.48,4.91,1.33,1.0,0
10.54,12,11.92,4.09,0.91,1.0,0
10.54,13,11.95,4.73,0.79,1.0,0
10.54,15,9.47,4.33,1.45,1.0,0
10.54,16,7.62,5.35,0.33,1.0,0
10.54,17,8.81,4.66,1.15,1.0,0
10.54,18,11.08,4.85,1.33,1.0,0
10.54,19,8.35,4.34,1.51,1.0,0
10.54,20,11.37,4.0,1.12,1.0,0
10.54,21,7.86,4.4,0.77,1.0,0
10.54,22,9.08,4.06,0.4,1.0,0
10.54,23,7.44,4.25,0.36,1.0,0
11.06,10,10.71,4.02,1.26,1.0,0
11.06,11,10.17,4.8,0.66,1.0,0
11.06,15,10.17,4.05,1.45,1.0,0
11.06,16,7.71,4.83,0.5,1.0,0
11.06,17,9.41,4.75,1.15,1.0,0
11.06,18,11.77,4.7,0.67,1.0,0
11.06,19,8.5,4.21,0.38,1.0,0
11.06,20,11.95,4.15,1.12,1.0,0
11.06,21,8.59,4.76,1.53,1.0,0
11.06,22,9.72,4.01,1.21,1.0,0
11.06,23,7.99,4.14,1.07,1.0,0
11.59,10,10.71,4.02,1.26,1.0,0
11.59,11,10.86,4.91,1.33,1.0,0
11.59,15,10.17,4.05,0.0,1.0,0
11.59,16,7.97,4.59,0.67,1.0,0
11.59,17,9.41,4.75,1.15,1.0,0
11.59,18,11.94,4.67,0.33,1.0,0
11.59,19,9.3,4.25,1.51,1.0,0
11.59,21,8.98,4.86,0.77,1.0,0
11.59,22,10.46,4.41,1.61,1.0,0
11.59,23,8.74,4.02,1.43,1.0,0
12.12,10,11.37,3.99,0.63,1.0,0
12.12,11,11.45,4.54,1.33,1.0,0
12.12,15,10.93,4.17,1.45,1.0,0
12.12,16,8.46,4.39,1.0,1.0,0
12.12,17,10.01,4.86,0.58,1.0,0
12.12,19,10.07,4.05,1.51,1.0,0
12.12,21,9.51,4.57,1.15,1.0,0
12.12,22,11.15,4.91,1.61,1.0,0
12.12,23,9.49,4.07,1.43,1.0,0
12.65,10,11.98,4.26,1.26,1.0,0
12.65,11,12.11,4.76,1.33,1.0,0
12.65,15,11.46,3.98,1.08,1.0,0
12.65,16,9.04,4.79,1.34,1.0,0
12.65,17,10.61,4.75,1.15,1.0,0
12.65,19,10.86,4.13,1.51,1.0,0
12.65,21,10.11,4.66,1.15,1.0,0
12.65,22,11.15,4.91,0.0,1.0,0
12.65,23,10.24,3.98,1.43,1.0,0
13.17,15,12.03,4.05,1.08,1.0,0
13.17,16,9.55,4.67,1.0,1.0,0
13.17,17,10.78,4.64,0.38,1.0,0
13.17,19,11.59,4.45,1.51,1.0,0
13.17,21,10.67,4.07,1.53,1.0,0
13.17,22,11.98,4.78,1.61,1.0,0
13.17,23,10.24,3.98,0.0,1.0,0
13.7,16,10.2,4.95,1.34,1.0,0
13.7,17,11.35,4.86,1.15,1.0,0
13.7,19,11.96,4.31,0.76,1.0,0
13.7,21,11.47,3.97,1.53,1.0,0
13.7,23,10.24,3.98,0.0,1.0,0
14.23,16,10.88,4.75,1.34,1.0,0
14.23,17,11.35,4.86,1.15,1.0,0
14.23,21,12.07,3.87,1.15,1.0,0
14.23,23,10.99,4.04,0.72,1.0,0
14.75,16,11.44,4.32,1.34,1.0,0
14.75,17,11.93,4.68,0.58,1.0,0
14.75,23,11.74,3.94,1.43,1.0,0
15.28,16,12.14,4.24,1.34,1.0,0
15.28,23,12.21,3.64,1.07,1.0,0
43,4.84,1.0,1.0,0
